Phone Number,Account Length,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn,Total Mins,Total Calls,Avg Calls per Day,HighServiceCaller
405-6398,145,30,175.3,107.0,29.8,153.3,116.0,13.03,233.6,85.0,10.51,11.1,3.0,3.0,1,False,573.3000000000001,311.0,2.1448275862068966,0
405-6559,145,0,229.6,82.0,39.03,138.1,103.0,11.74,250.8,109.0,11.29,3.3,3.0,0.89,1,False,621.8,297.0,2.0482758620689654,0
405-6641,136,0,92.0,117.0,15.64,253.6,77.0,21.56,214.1,90.0,9.63,10.3,10.0,2.78,1,False,570.0,294.0,2.161764705882353,0
405-6943,64,0,224.8,111.0,38.22,190.0,101.0,16.15,221.4,110.0,9.96,9.2,2.0,2.48,1,False,645.4000000000001,324.0,5.0625,0
405-7119,156,27,192.3,137.0,32.69,199.9,115.0,16.99,244.2,112.0,10.99,14.8,8.0,4.0,1,False,651.2,372.0,2.3846153846153846,0
405-7146,97,24,133.2,135.0,22.64,217.2,58.0,18.46,70.6,79.0,3.18,11.0,3.0,2.97,1,False,432.0,275.0,2.8350515463917527,0
405-7204,82,34,232.6,121.0,39.54,153.2,115.0,13.02,286.7,77.0,12.9,4.7,3.0,1.27,3,False,677.2,316.0,3.8536585365853657,0
405-7467,112,0,168.6,102.0,28.66,298.0,117.0,25.33,194.7,110.0,8.76,9.8,5.0,2.65,1,False,671.0999999999999,334.0,2.982142857142857,0
405-7542,114,0,193.0,101.0,32.81,250.0,81.0,21.25,133.3,79.0,6.0,9.6,2.0,2.59,2,False,585.9,263.0,2.307017543859649,0
405-7676,146,0,149.3,83.0,25.38,187.1,130.0,15.9,149.8,100.0,6.74,7.9,4.0,2.13,7,True,494.09999999999997,317.0,2.171232876712329,1
405-7850,54,39,143.9,73.0,24.46,210.3,117.0,17.88,129.2,117.0,5.81,12.5,8.0,3.38,2,False,495.90000000000003,315.0,5.833333333333333,0
405-7904,185,30,154.1,114.0,26.2,118.7,106.0,10.09,258.4,105.0,11.63,12.9,3.0,3.48,2,False,544.1,328.0,1.772972972972973,0
405-8075,88,0,148.2,82.0,25.19,308.7,67.0,26.24,235.4,79.0,10.59,6.4,4.0,1.73,2,False,698.6999999999999,232.0,2.6363636363636362,0
405-8370,30,0,169.9,144.0,28.88,225.2,118.0,19.14,169.7,93.0,7.64,11.4,7.0,3.08,1,False,576.1999999999999,362.0,12.066666666666666,0
405-8753,63,0,207.6,96.0,35.29,229.0,112.0,19.47,162.6,131.0,7.32,13.3,2.0,3.59,1,False,612.5,341.0,5.412698412698413,0
405-8867,36,0,253.4,77.0,43.08,182.4,151.0,15.5,275.8,103.0,12.41,8.4,2.0,2.27,1,False,720.0,333.0,9.25,0
405-9217,48,0,190.4,92.0,32.37,317.5,85.0,26.99,133.4,113.0,6.0,8.3,4.0,2.24,2,False,649.5999999999999,294.0,6.125,0
405-9233,70,0,7.9,100.0,1.34,136.4,83.0,11.59,156.6,89.0,7.05,12.1,1.0,3.27,0,False,313.0,273.0,3.9,0
405-9384,153,28,235.6,74.0,40.05,227.9,37.0,19.37,170.3,103.0,7.66,15.4,9.0,4.16,0,False,649.1999999999999,223.0,1.457516339869281,0
405-9496,118,0,187.4,97.0,31.86,177.8,89.0,15.11,233.4,97.0,10.5,12.2,6.0,3.29,1,False,610.8000000000001,289.0,2.4491525423728815,0
405-9573,85,0,144.4,88.0,24.55,264.6,105.0,22.49,185.4,94.0,8.34,9.9,3.0,2.67,1,False,604.3,290.0,3.411764705882353,0
405-9864,75,0,111.7,121.0,18.99,237.3,119.0,20.17,253.5,110.0,11.41,13.1,6.0,3.54,1,False,615.6,356.0,4.746666666666667,0
406-1247,42,32,163.8,80.0,27.85,177.8,123.0,15.11,190.4,106.0,8.57,8.1,5.0,2.19,0,False,540.1,314.0,7.476190476190476,0
406-1349,161,0,189.6,78.0,32.23,267.4,117.0,22.73,184.5,137.0,8.3,1.3,6.0,0.35,1,False,642.8,338.0,2.099378881987578,0
406-1730,90,0,157.9,72.0,26.84,234.0,93.0,19.89,210.0,86.0,9.45,12.2,5.0,3.29,2,False,614.1,256.0,2.8444444444444446,0
406-2032,105,0,115.5,73.0,19.64,267.3,83.0,22.72,114.2,90.0,5.14,13.3,5.0,3.59,3,False,510.3,251.0,2.3904761904761904,0
406-2213,105,0,147.7,103.0,25.11,222.7,78.0,18.93,163.5,102.0,7.36,12.8,3.0,3.46,2,False,546.6999999999999,286.0,2.723809523809524,0
406-2242,98,0,217.2,121.0,36.92,303.4,73.0,25.79,197.1,71.0,8.87,12.4,2.0,3.35,0,True,730.0999999999999,267.0,2.7244897959183674,0
406-2454,51,0,181.5,108.0,30.86,196.9,87.0,16.74,187.2,119.0,8.42,10.3,2.0,2.78,1,False,575.8999999999999,316.0,6.196078431372549,0
406-2678,104,0,200.2,92.0,34.03,118.7,87.0,10.09,236.6,65.0,10.65,6.0,6.0,1.62,2,False,561.5,250.0,2.4038461538461537,0
406-2752,79,0,152.2,112.0,25.87,177.2,132.0,15.06,96.4,87.0,4.34,5.3,3.0,1.43,1,False,431.09999999999997,334.0,4.227848101265823,0
406-2866,96,0,276.9,105.0,47.07,246.9,94.0,20.99,254.4,107.0,11.45,10.3,3.0,2.78,1,True,788.4999999999999,309.0,3.21875,0
406-3069,56,0,162.3,99.0,27.59,149.1,78.0,12.67,255.5,115.0,11.5,14.8,1.0,4.0,4,True,581.6999999999999,293.0,5.232142857142857,1
406-3890,50,0,258.1,106.0,43.88,161.4,106.0,13.72,225.1,110.0,10.13,11.7,5.0,3.16,1,False,656.3000000000001,327.0,6.54,0
406-4100,81,0,324.7,48.0,55.2,236.4,82.0,20.09,187.6,78.0,8.44,13.1,5.0,3.54,0,True,761.8000000000001,213.0,2.6296296296296298,0
406-4158,134,0,7.8,86.0,1.33,171.4,100.0,14.57,186.5,80.0,8.39,12.9,2.0,3.48,2,False,378.6,268.0,2.0,0
406-4560,113,0,204.3,82.0,34.73,188.8,115.0,16.05,139.4,97.0,6.27,9.2,7.0,2.48,1,False,541.7,301.0,2.663716814159292,0
406-4588,114,0,169.6,85.0,28.83,58.9,86.0,5.01,179.3,124.0,8.07,7.4,8.0,2.0,1,False,415.2,303.0,2.6578947368421053,0
406-4604,82,0,208.8,101.0,35.5,213.7,87.0,18.16,175.1,86.0,7.88,12.4,6.0,3.35,3,False,610.0,280.0,3.4146341463414633,0
406-4710,141,36,187.5,99.0,31.88,241.4,116.0,20.52,229.5,105.0,10.33,10.5,5.0,2.84,3,False,668.9,325.0,2.3049645390070923,0
406-4720,132,0,121.5,88.0,20.66,253.0,124.0,21.51,195.7,120.0,8.81,10.7,4.0,2.89,1,False,580.9000000000001,336.0,2.5454545454545454,0
406-4768,101,17,193.9,71.0,32.96,189.8,81.0,16.13,196.3,97.0,8.83,12.6,7.0,3.4,0,False,592.6,256.0,2.5346534653465347,0
406-4840,95,20,165.7,78.0,28.17,215.6,94.0,18.33,243.3,91.0,10.95,9.8,6.0,2.65,0,False,634.3999999999999,269.0,2.831578947368421,0
406-5003,75,0,203.3,70.0,34.56,228.9,97.0,19.46,222.2,118.0,10.0,14.3,3.0,3.86,1,False,668.7,288.0,3.84,0
406-5023,93,0,164.5,95.0,27.97,230.9,87.0,19.63,149.9,91.0,6.75,9.9,3.0,2.67,4,False,555.1999999999999,276.0,2.967741935483871,1
406-5059,125,36,201.3,117.0,34.22,42.2,78.0,3.59,125.7,104.0,5.66,5.4,3.0,1.46,1,False,374.59999999999997,302.0,2.416,0
406-5532,138,33,155.2,139.0,26.38,268.3,79.0,22.81,186.4,71.0,8.39,9.7,4.0,2.62,3,False,619.6,293.0,2.1231884057971016,0
406-5584,93,0,98.4,78.0,16.73,249.6,129.0,21.22,248.2,114.0,11.17,14.2,4.0,3.83,1,False,610.4000000000001,325.0,3.4946236559139785,0
406-5710,80,0,194.8,116.0,33.12,209.9,93.0,17.84,194.1,100.0,8.73,12.8,3.0,3.46,0,False,611.6,312.0,3.9,0
406-5870,169,0,57.1,98.0,9.71,199.7,78.0,16.97,274.7,103.0,12.36,6.5,6.0,1.76,3,False,538.0,285.0,1.6863905325443787,0
406-6304,181,0,229.9,130.0,39.08,144.4,93.0,12.27,262.4,110.0,11.81,14.2,4.0,3.83,2,False,650.9000000000001,337.0,1.861878453038674,0
406-6400,125,0,182.3,64.0,30.99,139.8,121.0,11.88,171.6,96.0,7.72,11.6,7.0,3.13,2,False,505.30000000000007,288.0,2.304,0
406-6669,115,29,222.6,81.0,37.84,190.3,109.0,16.18,201.2,87.0,9.05,11.5,2.0,3.11,1,False,625.5999999999999,279.0,2.4260869565217393,0
406-6708,67,0,167.8,91.0,28.53,167.7,69.0,14.25,110.3,71.0,4.96,8.4,12.0,2.27,1,False,454.2,243.0,3.626865671641791,0
406-7261,99,0,145.6,106.0,24.75,98.3,106.0,8.36,230.8,83.0,10.39,10.9,5.0,2.94,1,False,485.59999999999997,300.0,3.0303030303030303,0
406-7643,100,32,125.2,123.0,21.28,230.9,101.0,19.63,192.0,106.0,8.64,12.6,9.0,3.4,3,False,560.7,339.0,3.39,0
406-7670,143,0,155.4,112.0,26.42,290.9,92.0,24.73,228.4,91.0,10.28,13.9,5.0,3.75,1,False,688.5999999999999,300.0,2.097902097902098,0
406-7726,130,0,124.3,70.0,21.13,270.7,99.0,23.01,239.5,83.0,10.78,3.5,6.0,0.95,0,False,638.0,258.0,1.9846153846153847,0
406-7737,122,40,216.4,80.0,36.79,249.7,90.0,21.22,185.9,99.0,8.37,12.7,4.0,3.43,1,False,664.7,273.0,2.237704918032787,0
406-7844,148,0,279.3,104.0,47.48,201.6,87.0,17.14,280.8,99.0,12.64,7.9,2.0,2.13,2,True,769.6,292.0,1.972972972972973,0
406-8037,82,0,154.0,107.0,26.18,94.4,114.0,8.02,287.6,95.0,12.94,10.1,7.0,2.73,1,False,546.1,323.0,3.9390243902439024,0
406-8324,131,30,174.0,118.0,29.58,205.3,81.0,17.45,218.2,90.0,9.82,6.7,3.0,1.81,1,False,604.2,292.0,2.2290076335877864,0
406-8445,58,22,224.1,127.0,38.1,238.8,85.0,20.3,174.2,86.0,7.84,11.5,7.0,3.11,2,False,648.5999999999999,305.0,5.258620689655173,0
406-8465,132,0,195.1,100.0,33.17,148.8,95.0,12.65,224.5,117.0,10.1,6.7,2.0,1.81,0,False,575.1,314.0,2.378787878787879,0
406-8599,123,0,211.0,92.0,35.87,217.0,102.0,18.45,214.8,104.0,9.67,9.8,7.0,2.65,3,False,652.5999999999999,305.0,2.4796747967479673,0
406-8665,84,35,207.5,138.0,35.28,201.0,116.0,17.09,164.5,107.0,7.4,7.5,16.0,2.03,4,False,580.5,377.0,4.488095238095238,1
406-8809,177,0,232.8,106.0,39.58,175.2,97.0,14.89,212.2,77.0,9.55,12.5,7.0,3.38,2,False,632.7,287.0,1.6214689265536724,0
406-8995,131,0,122.3,83.0,20.79,118.8,94.0,10.1,147.9,95.0,6.66,13.7,3.0,3.7,3,True,402.7,275.0,2.099236641221374,0
406-9926,64,0,225.3,134.0,38.3,108.2,87.0,9.2,139.6,132.0,6.28,17.3,9.0,4.67,1,True,490.40000000000003,362.0,5.65625,0
407-1896,99,0,191.2,110.0,32.5,163.9,102.0,13.93,243.6,114.0,10.96,14.1,3.0,3.81,1,False,612.8000000000001,329.0,3.323232323232323,0
407-2081,143,24,186.6,69.0,31.72,222.0,116.0,18.87,234.9,138.0,10.57,11.6,5.0,3.13,1,False,655.1,328.0,2.2937062937062938,0
407-2248,136,31,143.1,88.0,24.33,236.6,65.0,20.11,227.8,120.0,10.25,11.4,5.0,3.08,2,False,618.9,278.0,2.0441176470588234,0
407-2259,107,0,222.3,101.0,37.79,286.0,111.0,24.31,249.4,117.0,11.22,12.1,4.0,3.27,1,True,769.8000000000001,333.0,3.1121495327102804,0
407-2292,101,0,153.8,89.0,26.15,234.0,89.0,19.89,196.3,77.0,8.83,11.6,2.0,3.13,4,False,595.7,257.0,2.5445544554455446,1
407-2441,153,0,122.5,145.0,20.83,273.3,103.0,23.23,197.8,71.0,8.9,8.0,3.0,2.16,2,False,601.6,322.0,2.104575163398693,0
407-2718,48,0,240.0,88.0,40.8,141.0,117.0,11.99,128.9,137.0,5.8,7.1,9.0,1.92,1,False,517.0,351.0,7.3125,0
407-2750,66,0,201.3,95.0,34.22,152.8,66.0,12.99,233.2,101.0,10.49,7.5,4.0,2.03,1,False,594.8,266.0,4.03030303030303,0
407-3121,100,0,218.8,125.0,37.2,148.3,102.0,12.61,277.8,97.0,12.5,9.7,6.0,2.62,1,False,654.6000000000001,330.0,3.3,0
407-3949,111,0,78.3,119.0,13.31,198.2,94.0,16.85,248.5,94.0,11.18,12.1,4.0,3.27,1,False,537.1,311.0,2.8018018018018016,0
407-5056,65,0,158.8,53.0,27.0,188.5,132.0,16.02,189.3,87.0,8.52,9.8,4.0,2.65,2,False,546.4,276.0,4.246153846153846,0
407-5774,81,24,130.1,117.0,22.12,196.0,61.0,16.66,139.3,123.0,6.27,11.4,5.0,3.08,0,False,476.8,306.0,3.7777777777777777,0
407-6391,64,0,213.5,93.0,36.3,166.6,114.0,14.16,122.0,78.0,5.49,14.1,3.0,3.81,3,False,516.2,288.0,4.5,0
407-6748,90,29,150.1,109.0,25.52,264.7,103.0,22.5,178.4,97.0,8.03,5.8,4.0,1.57,1,False,598.9999999999999,313.0,3.477777777777778,0
407-7035,63,0,58.9,125.0,10.01,169.6,59.0,14.42,211.4,88.0,9.51,9.4,3.0,2.54,1,False,449.29999999999995,275.0,4.365079365079365,0
407-7258,54,0,190.5,108.0,32.39,259.7,108.0,22.07,141.5,111.0,6.37,9.7,2.0,2.62,2,True,601.4000000000001,329.0,6.092592592592593,0
407-7464,148,0,208.4,120.0,35.43,174.4,99.0,14.82,310.7,105.0,13.98,11.2,4.0,3.02,1,False,704.7,328.0,2.2162162162162162,0
407-7507,106,31,197.4,125.0,33.56,123.4,110.0,10.49,115.6,101.0,5.2,12.3,4.0,3.32,3,False,448.7,340.0,3.207547169811321,0
407-8012,3,0,161.0,96.0,27.37,244.9,82.0,20.82,180.8,103.0,8.14,7.7,6.0,2.08,1,False,594.4000000000001,287.0,95.66666666666667,0
407-8376,94,0,137.5,118.0,23.38,203.2,88.0,17.27,150.0,131.0,6.75,13.4,2.0,3.62,0,False,504.09999999999997,339.0,3.606382978723404,0
407-8575,76,0,204.0,69.0,34.68,225.1,110.0,19.13,240.3,85.0,10.81,9.6,5.0,2.59,1,False,679.0000000000001,269.0,3.539473684210526,0
407-9244,44,0,143.2,77.0,24.34,169.8,114.0,14.43,215.8,77.0,9.71,7.6,4.0,2.05,1,False,536.4,272.0,6.181818181818182,0
407-9290,72,0,177.1,97.0,30.11,184.7,105.0,15.7,174.1,94.0,7.83,8.0,6.0,2.16,1,False,543.9,302.0,4.194444444444445,0
407-9830,72,0,272.4,88.0,46.31,107.9,125.0,9.17,185.5,81.0,8.35,12.7,2.0,3.43,0,False,578.5,296.0,4.111111111111111,0
407-9841,111,0,152.2,114.0,25.87,137.2,102.0,11.66,185.9,97.0,8.37,9.8,3.0,2.65,0,False,485.09999999999997,316.0,2.8468468468468466,0
408-1242,97,43,121.1,105.0,20.59,260.2,115.0,22.12,222.4,100.0,10.01,8.3,5.0,2.24,3,False,611.9999999999999,325.0,3.350515463917526,0
408-1331,6,0,226.5,93.0,38.51,152.1,122.0,12.93,164.4,98.0,7.4,9.4,4.0,2.54,3,False,552.4,317.0,52.833333333333336,0
408-1340,138,29,190.1,87.0,32.32,223.2,123.0,18.97,256.2,130.0,11.53,14.2,6.0,3.83,0,False,683.7,346.0,2.5072463768115942,0
408-1486,201,21,192.0,97.0,32.64,239.1,81.0,20.32,116.1,125.0,5.22,15.1,3.0,4.08,1,False,562.3000000000001,306.0,1.5223880597014925,0
408-1513,37,0,199.5,107.0,33.92,207.5,110.0,17.64,83.9,123.0,3.78,8.1,4.0,2.19,2,False,499.0,344.0,9.297297297297296,0
408-1913,82,0,266.9,83.0,45.37,229.7,74.0,19.52,251.7,99.0,11.33,11.0,6.0,2.97,3,True,759.3,262.0,3.1951219512195124,0
408-2002,15,0,121.1,130.0,20.59,216.0,86.0,18.36,235.1,33.0,10.58,16.1,5.0,4.35,2,False,588.3000000000001,254.0,16.933333333333334,0
408-2089,172,0,169.8,123.0,28.87,183.1,94.0,15.56,395.0,72.0,17.77,12.7,7.0,3.43,2,False,760.6,296.0,1.7209302325581395,0
408-2119,200,0,128.2,87.0,21.79,133.2,105.0,11.32,177.6,123.0,7.99,11.2,2.0,3.02,1,False,450.2,317.0,1.585,0
408-2621,48,0,188.4,63.0,32.03,165.9,89.0,14.1,205.7,71.0,9.26,13.2,2.0,3.56,1,False,573.2,225.0,4.6875,0
408-2712,129,0,192.9,131.0,32.79,185.5,101.0,15.77,205.2,130.0,9.23,10.9,4.0,2.94,1,False,594.4999999999999,366.0,2.8372093023255816,0
408-3262,92,0,184.7,60.0,31.4,262.0,73.0,22.27,239.5,120.0,10.78,12.3,6.0,3.32,2,True,698.5,259.0,2.8152173913043477,0
408-3269,48,0,275.2,67.0,46.78,180.2,108.0,15.32,159.0,110.0,7.15,7.9,2.0,2.13,1,False,622.3,287.0,5.979166666666667,0
408-3384,81,0,153.5,99.0,26.1,197.6,102.0,16.8,198.5,86.0,8.93,6.3,2.0,1.7,2,False,555.9,289.0,3.567901234567901,0
408-3532,194,0,48.4,101.0,8.23,281.1,138.0,23.89,218.5,87.0,9.83,18.2,1.0,4.91,1,False,566.2,327.0,1.6855670103092784,0
408-3606,21,0,225.0,110.0,38.25,244.2,111.0,20.76,221.2,93.0,9.95,10.7,4.0,2.89,0,False,701.1,318.0,15.142857142857142,0
408-3610,77,23,209.7,73.0,35.65,183.6,63.0,15.61,205.5,111.0,9.25,7.1,3.0,1.92,2,False,605.9,250.0,3.2467532467532467,0
408-3977,1,0,144.8,107.0,24.62,112.5,66.0,9.56,218.7,79.0,9.84,13.8,3.0,3.73,1,False,489.8,255.0,255.0,0
408-4142,106,0,213.9,95.0,36.36,151.9,70.0,12.91,260.1,124.0,11.7,12.2,5.0,3.29,3,False,638.1000000000001,294.0,2.7735849056603774,0
408-4174,77,0,163.0,112.0,27.71,219.1,89.0,18.62,233.4,66.0,10.5,6.7,3.0,1.81,2,False,622.2,270.0,3.5064935064935066,0
408-4195,130,0,154.2,119.0,26.21,110.2,98.0,9.37,227.4,117.0,10.23,9.2,5.0,2.48,2,False,500.99999999999994,339.0,2.6076923076923078,0
408-4323,149,0,237.6,79.0,40.39,192.4,107.0,16.35,207.4,111.0,9.33,9.1,9.0,2.46,0,False,646.5,306.0,2.053691275167785,0
408-4529,48,22,152.0,63.0,25.84,258.8,131.0,22.0,263.2,109.0,11.84,15.7,5.0,4.24,2,True,689.7,308.0,6.416666666666667,0
408-4530,63,32,30.9,113.0,5.25,187.0,113.0,15.9,230.8,101.0,10.39,8.6,7.0,2.32,1,False,457.30000000000007,334.0,5.301587301587301,0
408-4836,93,0,328.1,106.0,55.78,151.7,89.0,12.89,303.5,114.0,13.66,8.7,3.0,2.35,1,True,792.0,312.0,3.3548387096774195,0
408-4865,56,0,121.6,84.0,20.67,165.3,115.0,14.05,243.9,95.0,10.98,8.9,2.0,2.4,1,False,539.6999999999999,296.0,5.285714285714286,0
408-4870,88,25,288.5,114.0,49.05,203.4,74.0,17.29,228.4,117.0,10.28,13.0,5.0,3.51,1,False,733.3,310.0,3.522727272727273,0
408-4911,116,0,129.4,84.0,22.0,157.3,89.0,13.37,215.5,77.0,9.7,13.3,3.0,3.59,0,False,515.5,253.0,2.1810344827586206,0
408-5183,93,32,138.1,91.0,23.48,167.3,72.0,14.22,238.9,115.0,10.75,6.8,3.0,1.84,2,False,551.0999999999999,281.0,3.021505376344086,0
408-5322,19,0,259.4,116.0,44.1,269.7,109.0,22.92,175.3,130.0,7.89,9.5,3.0,2.57,1,True,713.8999999999999,358.0,18.842105263157894,0
408-5601,112,31,225.2,89.0,38.28,256.8,117.0,21.83,249.7,87.0,11.24,11.5,1.0,3.11,4,False,743.2,294.0,2.625,1
408-5916,78,0,87.0,102.0,14.79,193.6,64.0,16.46,205.8,120.0,9.26,11.0,5.0,2.97,0,False,497.40000000000003,291.0,3.730769230769231,0
408-6089,81,33,161.6,117.0,27.47,123.0,90.0,10.46,261.3,101.0,11.76,12.2,5.0,3.29,1,False,558.1000000000001,313.0,3.8641975308641974,0
408-6266,116,0,197.9,84.0,33.64,168.1,113.0,14.29,239.8,145.0,10.79,12.0,6.0,3.24,1,False,617.8,348.0,3.0,0
408-6302,54,0,273.8,113.0,46.55,119.6,156.0,10.17,267.6,117.0,12.04,11.7,3.0,3.16,1,False,672.7,389.0,7.203703703703703,0
408-6305,66,0,170.5,103.0,28.99,254.3,77.0,21.62,197.3,138.0,8.88,10.5,2.0,2.84,2,False,632.6,320.0,4.848484848484849,0
408-6326,76,0,263.4,148.0,44.78,230.3,69.0,19.58,170.6,101.0,7.68,11.4,5.0,3.08,1,True,675.6999999999999,323.0,4.25,0
408-6496,118,23,289.5,52.0,49.22,166.6,111.0,14.16,119.1,88.0,5.36,9.5,4.0,2.57,1,False,584.7,255.0,2.1610169491525424,0
408-6621,176,0,223.2,76.0,37.94,214.4,131.0,18.22,154.4,80.0,6.95,10.1,2.0,2.73,3,False,602.1,289.0,1.6420454545454546,0
408-6676,60,0,221.1,106.0,37.59,178.6,48.0,15.18,202.7,90.0,9.12,7.4,3.0,2.0,1,False,609.8,247.0,4.116666666666666,0
408-6725,63,0,211.8,84.0,36.01,230.9,137.0,19.63,217.1,99.0,9.77,10.7,9.0,2.89,3,False,670.5000000000001,329.0,5.222222222222222,0
408-7015,89,0,89.5,66.0,15.22,179.3,104.0,15.24,225.1,116.0,10.13,12.3,1.0,3.32,3,False,506.2,287.0,3.2247191011235956,0
408-8269,147,35,197.3,134.0,33.54,141.1,99.0,11.99,212.1,90.0,9.54,10.1,4.0,2.73,2,True,560.6,327.0,2.2244897959183674,0
408-8650,134,0,205.3,122.0,34.9,240.5,155.0,20.44,179.1,107.0,8.06,5.0,9.0,1.35,1,False,629.9,393.0,2.9328358208955225,0
408-8910,130,0,139.1,72.0,23.65,246.0,112.0,20.91,207.2,121.0,9.32,11.4,9.0,3.08,5,False,603.6999999999999,314.0,2.4153846153846152,1
408-9463,94,0,174.0,85.0,29.58,241.1,114.0,20.49,207.8,94.0,9.35,7.9,1.0,2.13,1,False,630.8000000000001,294.0,3.127659574468085,0
408-9572,121,31,263.1,70.0,44.73,279.3,118.0,23.74,127.1,143.0,5.72,9.7,4.0,2.62,5,False,679.2000000000002,335.0,2.768595041322314,1
408-9779,131,0,110.9,74.0,18.85,115.6,90.0,9.83,190.5,114.0,8.57,15.8,9.0,4.27,1,False,432.8,287.0,2.1908396946564888,0
409-1244,112,36,113.7,117.0,19.33,157.5,82.0,13.39,177.6,118.0,7.99,10.0,3.0,2.7,2,False,458.79999999999995,320.0,2.857142857142857,0
409-1856,62,0,321.1,105.0,54.59,265.5,122.0,22.57,180.5,72.0,8.12,11.5,2.0,3.11,4,True,778.6,301.0,4.854838709677419,1
409-2111,62,0,147.1,91.0,25.01,190.4,107.0,16.18,195.2,115.0,8.78,12.2,3.0,3.29,0,False,544.9000000000001,316.0,5.096774193548387,0
409-2412,106,0,208.3,89.0,35.41,169.4,67.0,14.4,102.0,90.0,4.59,15.9,4.0,4.29,3,False,495.6,250.0,2.358490566037736,0
409-2917,92,0,255.8,125.0,43.49,142.7,111.0,12.13,181.2,101.0,8.15,11.7,3.0,3.16,0,False,591.4000000000001,340.0,3.6956521739130435,0
409-2983,58,0,247.2,116.0,42.02,303.7,103.0,25.81,105.4,94.0,4.74,9.3,2.0,2.51,2,True,665.5999999999999,315.0,5.431034482758621,0
409-3018,95,0,142.5,109.0,24.23,176.1,107.0,14.97,189.6,88.0,8.53,8.2,3.0,2.21,2,False,516.4000000000001,307.0,3.231578947368421,0
409-3353,190,0,182.2,101.0,30.97,212.3,95.0,18.05,233.0,123.0,10.49,9.3,4.0,2.51,2,False,636.8,323.0,1.7,0
409-3428,48,27,141.1,109.0,23.99,224.7,94.0,19.1,174.3,122.0,7.84,13.2,2.0,3.56,1,False,553.3,327.0,6.8125,0
409-3520,19,34,156.6,97.0,26.62,224.2,97.0,19.06,260.9,135.0,11.74,11.3,1.0,3.05,1,False,652.9999999999999,330.0,17.36842105263158,0
409-3786,120,0,165.0,100.0,28.05,317.2,83.0,26.96,119.2,86.0,5.36,8.3,8.0,2.24,1,False,609.6999999999999,277.0,2.308333333333333,0
409-4447,121,0,167.7,94.0,28.51,93.7,121.0,7.96,241.3,115.0,10.86,13.4,1.0,3.62,3,True,516.1,331.0,2.7355371900826446,0
409-4462,73,0,137.1,102.0,23.31,210.8,114.0,17.92,191.4,120.0,8.61,11.1,4.0,3.0,1,False,550.4,340.0,4.657534246575342,0
409-4671,147,35,157.5,109.0,26.78,189.6,67.0,16.12,227.0,76.0,10.22,11.1,2.0,3.0,3,True,585.2,254.0,1.727891156462585,0
409-4734,167,0,131.6,120.0,22.37,211.3,96.0,17.96,168.3,97.0,7.57,11.1,4.0,3.0,4,True,522.3,317.0,1.8982035928143712,1
409-4791,41,0,202.9,97.0,34.49,153.8,104.0,13.07,113.5,92.0,5.11,9.0,3.0,2.43,3,False,479.20000000000005,296.0,7.219512195121951,0
409-5519,116,0,160.7,69.0,27.32,146.8,106.0,12.48,287.8,144.0,12.95,8.2,5.0,2.21,0,False,603.5,324.0,2.793103448275862,0
409-5749,84,30,106.5,65.0,18.11,225.7,108.0,19.18,188.6,61.0,8.49,5.7,3.0,1.54,2,False,526.5,237.0,2.8214285714285716,0
409-5939,92,0,91.7,90.0,15.59,193.7,123.0,16.46,175.0,86.0,7.88,9.2,4.0,2.48,2,False,469.59999999999997,303.0,3.2934782608695654,0
409-6588,109,29,111.2,90.0,18.9,263.5,98.0,22.4,224.7,128.0,10.11,9.0,6.0,2.43,6,True,608.4,322.0,2.9541284403669725,1
409-6753,120,0,98.2,99.0,16.69,186.7,85.0,15.87,146.7,96.0,6.6,9.3,4.0,2.51,2,False,440.9,284.0,2.3666666666666667,0
409-7034,71,0,243.7,124.0,41.43,60.0,90.0,5.1,189.0,129.0,8.5,11.3,2.0,3.05,0,False,504.0,345.0,4.859154929577465,0
409-7494,167,0,166.4,85.0,28.29,243.2,135.0,20.67,229.2,95.0,10.31,9.9,5.0,2.67,1,False,648.6999999999999,320.0,1.9161676646706587,0
409-7523,125,0,187.3,118.0,31.84,160.7,111.0,13.66,263.8,112.0,11.87,9.6,2.0,2.59,0,True,621.4,343.0,2.744,0
409-8453,165,33,111.6,140.0,18.97,213.3,111.0,18.13,267.6,115.0,12.04,16.0,3.0,4.32,0,False,608.5,369.0,2.2363636363636363,0
409-8743,62,0,98.9,103.0,16.81,135.4,122.0,11.51,236.6,82.0,10.65,12.2,1.0,3.29,1,False,483.09999999999997,308.0,4.967741935483871,0
409-8796,128,0,216.0,111.0,36.72,153.7,115.0,13.06,227.0,74.0,10.22,12.7,4.0,3.43,1,False,609.4000000000001,304.0,2.375,0
409-8802,61,0,197.3,67.0,33.54,264.5,106.0,22.48,210.5,116.0,9.47,9.0,6.0,2.43,1,False,681.3,295.0,4.836065573770492,0
409-8814,77,0,233.8,104.0,39.75,266.5,94.0,22.65,212.7,104.0,9.57,7.6,3.0,2.05,2,False,720.6,305.0,3.961038961038961,0
409-9494,129,30,177.3,95.0,30.14,211.8,102.0,18.0,240.2,108.0,10.81,9.3,7.0,2.51,3,False,638.5999999999999,312.0,2.4186046511627906,0
